City,Country,Lat,Lng,Max Temp,Min Temp,Huidity,Cloudiness,Wind Speed,Current Description
Camana,Pe,-16.6228,-72.7111,64.26,64.26,71,100,8.43,overcast clouds
Mareeba,Au,-17.0,145.4333,64.44,62.47,94,70,2.44,light rain
Viransehir,Tr,37.2353,39.7631,86.47,86.47,14,0,14.25,clear sky
Cordoba,Ar,-31.4135,-64.1811,66.42,59.0,16,0,12.66,clear sky
Voiron,Fr,45.3639,5.5921,85.05,78.26,50,29,5.99,scattered clouds
Indramayu,Id,-6.3264,108.32,80.53,80.53,82,21,7.54,few clouds
Prince george,Ca,53.9166,-122.753,72.25,64.29,53,0,11.5,clear sky
Shache,Cn,38.4167,77.2406,87.8,87.8,13,0,6.78,clear sky
Hagenow,De,53.4333,11.1833,72.88,72.37,60,51,7.14,broken clouds
Simav,Tr,39.0882,28.9777,69.12,69.12,46,0,8.32,clear sky
Maragogi,Br,-9.0122,-35.2225,77.29,77.29,82,53,15.43,broken clouds
Green river,Us,41.5286,-109.4662,82.98,77.4,34,43,8.01,scattered clouds
Verkhoyansk,Ru,67.5447,133.385,62.82,62.82,67,97,5.93,overcast clouds
Mazamari,Pe,-11.3258,-74.5308,87.8,87.8,41,88,3.76,overcast clouds
Sao filipe,Cv,14.8961,-24.4956,75.87,75.87,70,12,17.47,few clouds
Berlevag,No,70.8578,29.0864,59.0,53.4,88,75,12.66,broken clouds
Alta floresta,Br,-9.8756,-56.0861,98.42,98.42,32,40,10.36,scattered clouds
Doha,Qa,25.2867,51.5333,97.11,94.89,27,0,12.66,clear sky
Yurga,Ru,55.7231,84.8861,52.29,52.29,84,39,2.37,scattered clouds
Abnub,Eg,27.2696,31.1511,92.75,92.75,18,1,8.48,clear sky
Vilcun,Cl,-38.65,-72.2333,47.14,47.14,70,11,6.6,few clouds
Pachino,It,36.7186,15.0907,80.85,80.85,67,23,3.33,few clouds
San cristobal,Ve,7.7669,-72.225,78.98,78.98,63,56,8.01,broken clouds
Lac du bonnet,Ca,50.2536,-96.0612,65.08,65.08,58,100,3.98,overcast clouds
Vostok,Ru,46.4856,135.8833,61.84,61.84,98,98,4.03,overcast clouds
Knysna,Za,-34.0363,23.0471,55.11,55.11,83,32,2.62,scattered clouds
Pietarsaari,Fi,63.65,22.6833,71.73,71.73,67,15,11.39,few clouds
Orcopampa,Pe,-15.2661,-72.3417,58.44,58.44,15,57,6.64,broken clouds
